Contributor,Commits,Added,Deleted,Repos
marysaka,19,2261,757,1
lotharsm,19,85,560,1
cedk,19,213,70,1
hpoul,18,263,195,1
taunoe,18,497,294,1
Prototik,18,251,44,1
DarhonSoftware,18,139,62,2
eduardosm,18,190,54,4
bcedu,18,132,66,2
fries1234,18,308,246,1
manuvarkey,18,573,39,2
zigazajc007,18,14030,11229,1
doZennn,18,72,22,2
IndrekV,18,51,51,1
wshanks,18,421,316,1
TheComputerGuy96,18,167,170,2
jneem,18,4349,1295,1
fredluetkemeier,18,118,19,1
davidarnold,18,155,59,1
ferraridamiano,18,246,194,1
mimbrero,18,10770,3395,1
zehkira,18,342,107,1
jmeloranta,18,173,58,1
SailReal,18,2170,2144,1
rabin-io,18,130,47,1
cor3ntin,18,302,144,1
friebetill,17,164,117,1
mpi3d,17,501,27,3
Cubitect,17,181,110,1
d4nj1,17,134,61,1
qarmin,17,11894,6755,2
freeseacher,17,1060,807,1
bdemers,17,122,37,1
raggesilver,17,173,98,1
jerrivaldo,17,118,70,1
core1024,17,551,295,1
Zlopez,17,90,29,2
doraskayo,17,36,183,5
nikodunk,17,39,33,1
joshas,17,405,481,1
misery,17,52,37,1
mikebarkmin,17,309,33,2
JMoerman,17,65,141,1
edfloreshz,17,1810,1759,1
cat-master21,17,313,193,1
hermitdemschoenenleben,17,654,201,1
igaldino,17,316,61,2
mpobaschnig,17,295,137,1
kevinlekiller,17,542,231,1
ssokolow,17,1006,19,2
FloridaMan7588,17,475,249,1
mbonani,17,211,194,1
jcaesar,17,448,266,1
kobus-v-schoor,17,164,48,1
hbons,17,701,651,1
vilmasvensson,17,2781,2790,1
knuxify,16,335,246,1
olea,16,687,357,2
ninjawarrior1337,16,378,232,1
vulpes2,16,248,91,6
mtkennerly,16,4627,3754,1
rushsteve1,16,191,46,2
x80486,16,240,255,5
lhw,16,447,300,2
mvgiacomello,16,8053,857,1
juliushaertl,16,183,48,1
thecodrr,16,28991,20221,1
albfan,16,636,288,4
wengxt,16,372,102,2
ergoithz,16,189,94,1
p2004a,16,33526,24988,1
jliljebl,16,87,77,1
SirMangler,16,500,288,1
julianrichen,16,436,550,2
flozz,16,549,180,2
cheywood,16,336,162,1
ndarilek,16,392,217,3
aviwad,16,159,102,1
michaelrsweet,16,181,77,1
hakpw,16,33,35,1
justinvforvendetta,16,204,73,1
kurobeats,16,251,133,1
chaogamer,16,233,116,1
subpop,15,345,25,3
jgarciao,15,28,24,15
agateau,15,215,151,2
chmouel,15,211,47,1
CodeMouse92,15,279,89,2
Darazaki,15,71,28,1
GeckoEidechse,15,342,147,2
muayyad-alsadi,15,35,131,1
theCalcaholic,15,227,49,1
bitseater,15,282,86,1
vdbongard,15,233,113,1
dennajort,15,209,103,1
michaelkuhn,15,348,201,1
vivian-ng,15,152,117,1
pktiuk,15,29,28,2
OverloadedOrama,15,63,62,1
ids1024,15,4399,1426,1
ItsJamie9494,15,382,370,2
ImUrX,15,31464,7531,1
Foldex,15,259,24,2
carterbox,15,328,196,1
SharkyRawr,15,596,289,2
GleammerRay,15,444,401,1
igorlogius,15,42,16,1
